URI,UniqueNumber,UniqueName,Synonym1,Synonym2,TextDefinition,Source,Notes,SuperClass1,SuperClass2,SuperClass3,SuperClass4,SuperClass5,ISO15926-2Entity,Classification1,Classification2,Classification3,Classification4,,"key-1
naming","key-2
references","key-3
source","key-4
classification","key-1
entity",,"Blue
(new)","Yellow
(changed)","Green
(moved)","Red
(deprecated)",,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/2_CONCECUTIVE_ECCENTRIC_PIPE_REDUCERS,24656,2 CONCECUTIVE ECCENTRIC PIPE REDUCERS,,,A <2 CONCECUTIVE ECCENTRIC PIPE REDUCERS> is a <PIPE REDUCER ASSEMBLY> consisting of 2 concecutive eccentric piping reducers,"NORSOK CAD symbol libraries, Z-CR-004, draft 3, October 1996: LFI024",,PIPE REDUCER ASSEMBLY,,,,,ClassOfInanimatePhysicalObject,PIPING,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/2_HOURS_TEST_RUN,24659,2 HOURS TEST RUN,,,"<2 HOURS TEST RUN> is the <Activity> whereby the pump shall be run on a test stand at the rated flow until oil temperature stabilizes or for two consequetive hours, whichever takes longer",,,Activity,,,,,ClassOfActivity,ACTIVITY OR EVENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/20-CYLINDER_ENGINE,24765,20-CYLINDER ENGINE,,,A <20-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 20 cylinders,,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/2-CYLINDER_ENGINE,24708,2-CYLINDER ENGINE,,,A <2-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 2 cylinders,,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/2D_COORDINATES,24866,2D COORDINATES,,,<2D COORDINATES> is a <Property> that entails the distance from a common point in two orthogonal directions,,,Property,,,,,MultidimensionalProperty,PROPERTY AND STATUS,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/2-STROKE_ENGINE,24762,2-STROKE ENGINE,,,"A <2-STROKE ENGINE> is a <RECIPROCATING PISTON ENGINE> that uses a 2-stroke working cycle. The charge being introduced by a blower or by other means, compressed, ignited, expanded and exhausted through ports in the cylinder wall (uncovered by the piston), before and during the entry of a new fresh charge. All 4 are achieved in one revolution",,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/2-STROKE_TRUNK_ENGINE,24763,2-STROKE TRUNK ENGINE,,,A <2-STROKE TRUNK ENGINE> is a <2-STROKE ENGINE> that is a diesel engine were the piston is direct coupled to the crank through the connecting rod. The connecting rod is directly connected to the piston by a piston pin. The combustion air is compressed by the descending piston in a separate crankcase compartment for each cylinder and enters the cylinder through the intake ports as they are uncovered by the piston.,,,2-STROKE ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/2-VALVE_MANIFOLD,4213,2-VALVE MANIFOLD,,,A <2-VALVE MANIFOLD> is a <MANIFOLD> that is a regulating manifold with 2 valves and 3 ports,,,MANIFOLD,,,,,ClassOfInanimatePhysicalObject,INSTRUMENTATION,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/3-15_PSIG_SIGNAL,24893,3-15 psig SIGNAL,,,"A <3-15 psig SIGNAL> is an <ANALOGUE SIGNAL> and a <PNEUMATIC SIGNAL> where 3 psig is representing 0 percent of measurement, 15 psig is representing 100 percent",,,ANALOGUE SIGNAL,PNEUMATIC SIGNAL,,,,ClassOfInformationObject,DOCUMENT AND (RE)PRESENTATION,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/3-15_PSIG_SIGNAL_LOOP_ELEMENT,24892,3-15 PSIG SIGNAL LOOP ELEMENT,,,A <3-15 PSIG SIGNAL LOOP ELEMENT> is an <INSTRUMENTATION ITEM> and an <INSTRUMENT LOOP ELEMENT> that can be installed in a <PNEUMATIC INSTRUMENT LOOP>,,,INSTRUMENT LOOP ELEMENT,,,,,ClassOfInanimatePhysicalObject,INSTRUMENTATION,,,,,,,,,,,,,,,,,,,,,
